ID,VULN_ID,VULN_TYPE,AFFECTED_PRODUCT,KB_ID,VULN_DETAILS,KB_DETAILS
13,MS05-039,Remote Code Execution,Windows Server 2003 SP1 Itanium-based,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
14,MS05-039,Remote Code Execution,Windows Server 2003 x64 Edition,KB899588,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-039,https://www.catalog.update.microsoft.com/Search.aspx?q=KB899588
15,MS06-040,Remote Code Execution,Windows XP Service Pack 2,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
16,MS06-040,Remote Code Execution,Windows XP Professional x64 Edition,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
17,MS06-040,Remote Code Execution,Windows XP Professional x64 Edition Service Pack 2,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
18,MS06-040,Remote Code Execution,Windows Server 2003 Service Pack 1,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
19,MS06-040,Remote Code Execution,Windows Server 2003 Service Pack 2,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
20,MS06-040,Remote Code Execution,Windows Server 2003 x64 Edition,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
21,MS06-040,Remote Code Execution,Windows Server 2003 x64 Edition Service Pack 2,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
22,MS06-040,Remote Code Execution,Windows Server 2003 SP1 Itanium-based,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
23,MS06-040,Remote Code Execution,Windows Server 2003 SP2 Itanium-based,KB921883,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-040,https://www.catalog.update.microsoft.com/Search.aspx?q=KB921883
24,MS08-025,Privilege Escalation,Windows Vista,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
25,MS08-025,Privilege Escalation,Windows Vista Service Pack 1,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
26,MS08-025,Privilege Escalation,Windows Vista x64 Edition,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
27,MS08-025,Privilege Escalation,Windows Vista x64 Edition Service Pack 1,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
28,MS08-025,Privilege Escalation,Windows Server 2008 32-bit,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
29,MS08-025,Privilege Escalation,Windows Server 2008 x64-based,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
30,MS08-025,Privilege Escalation,Windows Server 2008 Itanium-based,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
31,MS08-025,Privilege Escalation,Windows XP Service Pack 3,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
32,MS08-025,Privilege Escalation,Windows Server 2008 32-bit,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
33,MS08-025,Privilege Escalation,Windows Server 2008 x64-based,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
34,MS08-025,Privilege Escalation,Windows Server 2008 Itanium-based,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
35,MS08-025,Privilege Escalation,Windows Vista Service Pack 1,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
36,MS08-025,Privilege Escalation,Windows Vista x64 Edition,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
37,MS08-025,Privilege Escalation,Windows Vista x64 Edition Service Pack 1,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
38,MS08-025,Privilege Escalation,Windows Server 2008 32-bit,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
39,MS08-025,Privilege Escalation,Windows Server 2008 x64-based,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
40,MS08-025,Privilege Escalation,Windows Server 2008 Itanium-based,KB941693,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-025,https://www.catalog.update.microsoft.com/Search.aspx?q=KB941693
41,MS08-066,Privilege Escalation,Windows XP Service Pack 2,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
42,MS08-066,Privilege Escalation,Windows XP Service Pack 3,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
43,MS08-066,Privilege Escalation,Windows XP Professional x64 Edition,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
44,MS08-066,Privilege Escalation,Windows XP Professional x64 Edition Service Pack 2,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
45,MS08-066,Privilege Escalation,Windows Server 2003 Service Pack 1,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
46,MS08-066,Privilege Escalation,Windows Server 2003 Service Pack 2,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
47,MS08-066,Privilege Escalation,Windows Server 2003 x64 Edition,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
48,MS08-066,Privilege Escalation,Windows Server 2003 x64 Edition Service Pack 2,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
49,MS08-066,Privilege Escalation,Windows Server 2003 SP1 Itanium-based,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
50,MS08-066,Privilege Escalation,Windows Server 2003 SP2 Itanium-based,KB956803,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-066,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956803
51,MS08-067,Remote Code Execution,Windows 2000 Service Pack 4,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
52,MS08-067,Remote Code Execution,Windows XP Service Pack 2,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
53,MS08-067,Remote Code Execution,Windows XP Service Pack 3,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
54,MS08-067,Remote Code Execution,Windows XP Professional x64 Edition,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
55,MS08-067,Remote Code Execution,Windows XP Professional x64 Edition Service Pack 2,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
56,MS08-067,Remote Code Execution,Windows Server 2003 Service Pack 1,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
57,MS08-067,Remote Code Execution,Windows Server 2003 Service Pack 2,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
58,MS08-067,Remote Code Execution,Windows Server 2003 x64 Edition,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
59,MS08-067,Remote Code Execution,Windows Server 2003 x64 Edition Service Pack 2,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
60,MS08-067,Remote Code Execution,Windows Server 2003 SP1 Itanium-based,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
61,MS08-067,Remote Code Execution,Windows Server 2003 SP2 Itanium-based,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
62,MS08-067,Remote Code Execution,Windows Vista,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
63,MS08-067,Remote Code Execution,Windows Vista Service Pack 1,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
64,MS08-067,Remote Code Execution,Windows Vista x64 Edition,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
65,MS08-067,Remote Code Execution,Windows Vista x64 Edition Service Pack 1,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
66,MS08-067,Remote Code Execution,Windows Server 2008 32-bit,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
67,MS08-067,Remote Code Execution,Windows Server 2008 x64-based,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
68,MS08-067,Remote Code Execution,Windows Server 2008 Itanium-based,KB958644,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-067,https://www.catalog.update.microsoft.com/Search.aspx?q=KB958644
69,MS08-068,Remote Code Execution,Windows 2000 Service Pack 4,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
70,MS08-068,Remote Code Execution,Windows XP Service Pack 2,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
71,MS08-068,Remote Code Execution,Windows XP Service Pack 3,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
72,MS08-068,Remote Code Execution,Windows XP Professional x64 Edition,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
73,MS08-068,Remote Code Execution,Windows XP Professional x64 Edition Service Pack 2,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
74,MS08-068,Remote Code Execution,Windows Server 2003 Service Pack 1,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
75,MS08-068,Remote Code Execution,Windows Server 2003 Service Pack 2,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
76,MS08-068,Remote Code Execution,Windows Server 2003 x64 Edition,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
77,MS08-068,Remote Code Execution,Windows Server 2003 x64 Edition Service Pack 2,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
78,MS08-068,Remote Code Execution,Windows Server 2003 SP1 Itanium-based,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
79,MS08-068,Remote Code Execution,Windows Server 2003 SP2 Itanium-based,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
80,MS08-068,Remote Code Execution,Windows Vista,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
81,MS08-068,Remote Code Execution,Windows Vista Service Pack 1,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
82,MS08-068,Remote Code Execution,Windows Vista x64 Edition,KB957097,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/MS08-068,https://www.catalog.update.microsoft.com/Search.aspx?q=KB957097
83,MS09-012,Privilege Escalation,Windows 2000 Service Pack 4,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
84,MS09-012,Privilege Escalation,Windows XP Service Pack 2,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
85,MS09-012,Privilege Escalation,Windows XP Service Pack 3,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
86,MS09-012,Privilege Escalation,Windows XP Service Pack 2,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
87,MS09-012,Privilege Escalation,Windows XP Service Pack 3,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
88,MS09-012,Privilege Escalation,Windows XP Professional x64 Edition,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
89,MS09-012,Privilege Escalation,Windows XP Professional x64 Edition Service Pack 2,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
90,MS09-012,Privilege Escalation,Windows XP Professional x64 Edition,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
91,MS09-012,Privilege Escalation,Windows XP Professional x64 Edition Service Pack 2,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
92,MS09-012,Privilege Escalation,Windows Server 2003 Service Pack 1,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
93,MS09-012,Privilege Escalation,Windows Server 2003 Service Pack 2,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
94,MS09-012,Privilege Escalation,Windows Server 2003 Service Pack 1,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
95,MS09-012,Privilege Escalation,Windows Server 2003 Service Pack 2,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
96,MS09-012,Privilege Escalation,Windows Server 2003 x64 Edition,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
97,MS09-012,Privilege Escalation,Windows Server 2003 x64 Edition Service Pack 2,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
98,MS09-012,Privilege Escalation,Windows Server 2003 x64 Edition,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
99,MS09-012,Privilege Escalation,Windows Server 2003 x64 Edition Service Pack 2,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
100,MS09-012,Privilege Escalation,Windows Server 2003 SP1 Itanium-based,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
101,MS09-012,Privilege Escalation,Windows Server 2003 SP2 Itanium-based,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
102,MS09-012,Privilege Escalation,Windows Server 2003 SP1 Itanium-based,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
103,MS09-012,Privilege Escalation,Windows Server 2003 SP2 Itanium-based,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
104,MS09-012,Privilege Escalation,Windows Vista,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
105,MS09-012,Privilege Escalation,Windows Vista Service Pack 1,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
106,MS09-012,Privilege Escalation,Windows Vista,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
107,MS09-012,Privilege Escalation,Windows Vista Service Pack 1,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
108,MS09-012,Privilege Escalation,Windows Vista x64 Edition,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
109,MS09-012,Privilege Escalation,Windows Vista x64 Edition Service Pack 1,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
110,MS09-012,Privilege Escalation,Windows Vista x64 Edition,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
111,MS09-012,Privilege Escalation,Windows Vista x64 Edition Service Pack 1,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
112,MS09-012,Privilege Escalation,Windows Server 2008 32-bit,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
113,MS09-012,Privilege Escalation,Windows Server 2008 32-bit,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
114,MS09-012,Privilege Escalation,Windows Server 2008 x64-based,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
115,MS09-012,Privilege Escalation,Windows Server 2008 x64-based,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
116,MS09-012,Privilege Escalation,Windows Server 2008 Itanium-based,KB952004,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB952004
117,MS09-012,Privilege Escalation,Windows Server 2008 Itanium-based,KB956572,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-012,https://www.catalog.update.microsoft.com/Search.aspx?q=KB956572
118,MS09-020,Privilege Escalation,Windows 2000 Service Pack 4,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
119,MS09-020,Privilege Escalation,Windows XP Professional Service Pack 2,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
120,MS09-020,Privilege Escalation,Windows XP Professional Service Pack 3,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
121,MS09-020,Privilege Escalation,Windows XP Professional x64 Edition Service Pack 2,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
122,MS09-020,Privilege Escalation,Windows Server 2003 Service Pack 2,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
123,MS09-020,Privilege Escalation,Windows Server 2003 Service Pack 2,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
124,MS09-020,Privilege Escalation,Windows Server 2003 SP2 Itanium-based,KB970483,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-020,https://www.catalog.update.microsoft.com/Search.aspx?q=KB970483
125,MS09-050,Remote Code Execution,Windows Vista,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
126,MS09-050,Remote Code Execution,Windows Vista Service Pack 1,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
127,MS09-050,Remote Code Execution,Windows Vista Service Pack 2,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
128,MS09-050,Remote Code Execution,Windows Vista x64 Edition,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
129,MS09-050,Remote Code Execution,Windows Vista x64 Edition Service Pack 1,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
130,MS09-050,Remote Code Execution,Windows Vista x64 Edition Service Pack 2,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
131,MS09-050,Remote Code Execution,Windows Server 2008 32-bit,KB975517,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/MS09-050,https://www.catalog.update.microsoft.com/Search.aspx?q=KB975517
