ID,Repositories,About,Tag,Language
116,https://github.com/edoardottt/cariddi,,crawl,Golang
117,https://github.com/knight0x07/PoC-Malware-TTPs,,c2load,
118,https://github.com/mgeeky/ProtectMyTooling,,,
119,https://github.com/WangYihang/Platypus,,shellmanager,Golang
120,https://github.com/ehang-io/nps,,intranet penetration,Golang
121,https://github.com/Q16G/npsmodify,,intranet penetration,Golang
122,https://github.com/fatedier/frp,,intranet penetration,Golang
123,https://github.com/uknowsec/frpModify,,intranet penetration,Golang
124,https://github.com/snail007/goproxy,,intranet penetration,Golang
125,https://github.com/DeaglePC/XTunnel,,intranet penetration,C++
126,https://github.com/editso/fuso,,intranet penetration,Rust
127,https://github.com/EddieIvan01/iox,Tool for port forwarding & intranet proxy,port forwarding,Golang
128,https://github.com/ginuerzh/gost,a simple tunnel written in golang,port forwarding,Golang
129,https://github.com/Dliv3/Venom,A Multi-hop Proxy for Penetration Testers,proxy,Golang
130,https://github.com/ph4ntonn/Stowaway,Multi-hop Proxy Tool for pentesters,proxy,Golang
131,https://github.com/FunnyWolf/pystinger,,proxy,Python3
132,https://github.com/sensepost/reGeorg,,proxy,Python3
133,https://github.com/L-codes/Neo-reGeorg,,proxy,Python3
134,https://github.com/esrrhs/pingtunnel,,proxy,Golang
135,https://github.com/Daybr4ak/C2ReverseProxy,,proxy,Golang
136,https://github.com/nccgroup/SocksOverRDP,,proxy,C++
137,https://github.com/Dliv3/Venom,,proxy,Golang
138,https://github.com/vzex/dog-tunnel,,proxy,Golang
139,https://github.com/Mob2003/rakshasa,,proxy,Golang
140,https://github.com/ekzhang/bore,,port forwarding,Rust
141,https://github.com/jpillora/chisel,,proxy tunnel,Golang
142,https://github.com/mvladev/quic-reverse-http-tunnel,,proxy tunnel,Golang
143,https://github.com/zema1/suo5,,proxy tunnel,Golang
144,https://github.com/P1-Team/AlliN,A flexible scanner,asset,Python3
145,https://github.com/redtoolskobe/scaninfo,fast scan for redtools,Intranetscan,Golang
146,https://github.com/lcvvvv/kscan,Vulnerability Scan,Intranetscan,Golang
147,https://github.com/fortra/impacket,Impacket is a collection of Python classes for working with network protocols.,,Python3
148,https://github.com/Porchetta-Industries/CrackMapExec,A swiss army knife for pentesting networks,,Python3
149,https://github.com/rootclay/WMIHACKER,A Bypass Anti-virus Software Lateral Movement Command Execution Tool,,VBScript
150,https://github.com/ropnop/kerbrute,A tool to perform Kerberos pre-auth bruteforcing,,Golang
151,https://github.com/opensec-cn/conote-community,Vulnerability Scan,,
152,https://github.com/mitre/caldera,Automated Adversary Emulation Platform,,Python3
153,https://github.com/SecurityRiskAdvisors/VECTR,,,
154,https://github.com/bigb0x/ssh-log-auditor,ssh-log-auditor,blue,Python3
155,https://github.com/p0dalirius/ApacheTomcatScanner,A python script to scan for Apache Tomcat server vulnerabilities.,vulnscan,Python3
156,https://github.com/bytedance/appshark,,android,
157,https://github.com/1n7erface/PocList,,vulnscan,Java
158,https://github.com/IceWhaleTech/CasaOS,Personal Cloud system,,Golang
159,https://github.com/r4wd3r/Suborner,,,C#
160,https://github.com/opsdisk/pagodo,Google Dork,,Python3
161,https://github.com/smicallef/spiderfoot,,,Python3
162,https://github.com/Tuhinshubhra/CMSeeK,,fingerprint,Python3
163,https://github.com/mrknow001/aliyun-accesskey-Tools,aliyun accesskey,red,Python3
164,https://github.com/yogeshojha/rengine,reNgine is an automated reconnaissance framework,red,
165,https://github.com/ffffffff0x/BerylEnigma,,,Java
166,https://github.com/AlessandroZ/LaZagne,Credentials recovery project,red,Python3
167,https://github.com/chainreactors/gogo,,red,Golang
168,https://github.com/shmilylty/OneForAll,subdomain,asset,Python3
169,https://github.com/Bronya-Rayi/PDScan,,asset,
170,https://github.com/zu1k/nali,,other,Golang
171,https://github.com/projectdiscovery/naabu,,,Golang
172,https://github.com/BC-SECURITY/Starkiller,,c2,
173,https://github.com/AntSwordProject/antSword,,,
174,https://github.com/u21h2/nacs,,Intranetscan,Golang
175,https://github.com/teamssix/cf,,red,Golang
176,https://github.com/darkarmorlab/video-api-check,,red,Java
177,https://github.com/itaymigdal/Nimbo-C2,,c2,
178,https://github.com/kunwu2023/kunwu,,,
179,https://github.com/KimJun1010/WeblogicTool,,,Java
180,https://github.com/moonD4rk/HackBrowserData,,,Golang
181,https://github.com/SleepingBag945/frpCracker,frpCracker,,Golang
182,https://github.com/palahsu/DDoS-Ripper,,,Python3
183,https://github.com/Naturehi666/naturehi,,,
184,https://github.com/Mr-Robert0/Logsensor,POST Form SQ,,
185,https://github.com/veo/vshell,,c2,Golang
186,https://github.com/lele8/SharpDBeaver,,red,C#
187,https://github.com/fanchenio/DawnLauncher,,,
188,https://github.com/zhutougg/LandrayDES,,,Java
189,https://github.com/forensicxlab/VISION-ProcMon,,blue,
190,https://github.com/hasherezade/exe_to_dll,,,C++
191,https://github.com/dstotijn/hetty,,,Golang
192,https://github.com/nex121/ThinkphpGUI,,red,Java
193,https://github.com/g3tsyst3m/elevationstation,,red,C++
194,https://github.com/persistent-security/hermes-the-messenger,,red,C#
195,https://github.com/S12cybersecurity/WinDefenderKiller,,red,C++
196,https://github.com/PaulNorman01/Forensia,,red,C++
197,https://github.com/ps1337/reinschauer,,red,
198,https://github.com/k3rwin/log4j2-intranet-scan,,vulnscan,Python3
199,https://github.com/bsauce/kernel-exploit-factory,,red,
200,https://github.com/mingkwind/sshcrack,,red,Golang
201,https://github.com/wh0amitz/KRBUACBypass,,red,C#
202,https://github.com/zha0gongz1/Three-EyedRaven,,Intranetscan,Golang
203,https://github.com/lyshark/Windows-exploits,,red,
204,https://github.com/senzee1984/Amsi_Bypass_In_2023,,red,
205,https://github.com/kleiton0x00/RemoteShellcodeExec,,red,C++
206,https://github.com/kleiton0x00/RemoteShellcodeExec,,payload,C++
207,https://github.com/EricZimmerman/LECmd,,blue,C#
208,https://github.com/Martin2877/btab,,blue,
209,https://github.com/SiJiDo/H,,asset,
210,https://github.com/hktalent/scan4all,,Intranetscan,Golang
211,https://github.com/sAjibuu/Upload_Bypass,,red,Python3
212,https://github.com/redeye-framework/Redeye,,red,
213,https://github.com/Az0x7/vulnerability-Checklist,,,
214,https://github.com/noptrix/lulzbuster,,red,C
215,https://github.com/jorhelp/Ingram,,,Python3
216,https://github.com/tdragon6/Supershell,,c2,
